Группы,,Задача 1,Комментрарий 1,Задача 2,Комментрарий 2,Задача 3,Комментрарий 3,Задача 4,Комментрарий 4,Итого КР 1,Комментарии проверяющих
П-22-101,,10,,15,,20,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 5
6) график - 5",48,"1) оптимальный набор - 10
2) график - 3 из 5 (не подписаны линии)
3) график новые БО - 10
4) новые БО - 10
5) выбор акции - 8
6) новый выбор - 7",93,
ЭЦ-22-102,,10,,15,,0,"1) общее решение -  0 из 5 (нет общего вида)
2) остальное неверно ",41,"1) оптимальный набор - 6 из 10 (непоное решение)
2) график - 5
3) график новые БО - 10
4) новые БО - 2+5 из 10 (неверное БО 1 акции)
5) выбор акции -7 из 8 (из-за неверного бо)
6) новый выбор - 6 из 7 (из-за неверного бо)",66,
Ц-22-101,,10,,5,"форма верна, остальное нет",10,"1) общий вид - 3 из 5 (непоятно в чем задача)
2) MRS - отн цен - 3 
3) Найти MRS - 0 из 5 ( ошибк в вычислении)
4) набор  - 0 из 2 (неверный)
5) краевые - 5 
6) график - 4 из 5 (неврно точка с решением)",8,"1) оптимальный набор - 0 из 10 (не существует MRS, выбор не найден)
2) график - 4 из 5 (нет координат)
3) график новые БО - 2+2 из 10 (по графику дают 6 бутылок и 50% скидку на пиво; по условию наоборот; изобразить надо на 1 графике)
4) новые БО - 0+5 из 10 (БО 1 акции неверное, нужно х-6 и два участка)
5) выбор акции - 0 из 8 (нет обоснования)
6) новый выбор - 0 из 7",33,
Ц-22-102,,10,,,,,,0,"ответы не следуют из решения, графики не подписаны",10,
ЭЦ-22-102,,10,,15,,18,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5
4) набор  - 2 
5) краевые - 0 из 5 ( нет ни проверки, ни упониминаний свойскв)
6) график - 3  из 5(непонятно как посчитано пересечение с осями)",50,,93,
Э-22-101,,10,,15,,12,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 4 из 5 (неврно со знаком)
4) набор  - 2 
5) краевые - 0 из 5 ( нет ни проверки, ни упониминаний свойскв)
6) график - 3  из 5(непонятно как посчитано пересечение с осями, нет наклона)",49,"1) оптимальный набор - 10
2) график - 5
3) график новые БО - 9 из 10 (нужно на одном графике)
4) новые БО - 10
5) выбор акции - 8
6) новый выбор - 7",86,
Ц-22-101,,10,,15,,20,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 5
6) график - 5",29,"1) оптимальный набор - 10 (не нужно проверять краевые)
2) график - 5
3) график новые БО - 2+4 из 10 (по графику дают 6 бутылок; по условию наоборот; изобразить надо на 1 графике)
4) новые БО - 3+5 из 10 (БО 1 акции неполное, нужно х-6 и два участка)
5) выбор акции - 0 из 8
6) новый выбор - 0 из 7",74,
ЭЦ-22-102,,10,,15,,17,"1) общий вид - 0 из 5
2) MRS - отн цен - 3 
3) Найти MRS - 5 
4) набор  - 2 
5) краевые - 4 из 5 ( косвенно полученно, что их нет, но впрямую это нигде не обсуждается) 
6) график - 3 из 5 (непонятно как посчитано пересечение с осями)",17,"1) оптимальный набор - 10
2) график - 2 из 5 (не подписано, кр.безразличия неверные)
3) график новые БО - 0+5 из 10 (неверное БО 1 акции)
4) новые БО - 0 из 10 (не БО)
5) выбор акции - 0 из 8 (неверные наборы, выбор не обоснован)
6) новый выбор - 0 из 7 (неверно)",59,
ЭЦ-22-102,,0,нет объяснений,0,"неверно ни формула, ни расчёт",8,"1) общий вид - 4 из 5 ( в задча то x,y, то x1,x2)
2) MRS - отн цен - 0 (нет)
3) Найти MRS - 3 из 5 (недосчитан)
4) набор  - 0 из 2 (нет)
5) краевые - 0 из 5(нет)
6) график - 0 из 5(нет)",17,"1) оптимальный набор - 3 из 10 (з.потребителя верно)
2) график - 0 из 5 (неверно, ничего не полписано)
3) график новые БО - 2+4 из 10 (не подписаны оси, на разных рисунках)
4) новые БО - 3+5 из 10 (неполное БО 1 акции)
5) выбор акции - 0 из 8
6) новый выбор - 0 из 7",25,
Ц-22-102,,10,,,,,,,,10,
